"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"NO_BLOCO_ING";"NO_BLOCO_ESP"
"297";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"693";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"715";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"501";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"341";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"041";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"895";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"477";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"317";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"700";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"678";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"647";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"083";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"047";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"043";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"698";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"099";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"611";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"391";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"200";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"695";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"687";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"521";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"196";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"866";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"823";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"863";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"699";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"077";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"137";"105";"América Central e Caribe";"Central America and Caribbean";"América Central y Caribe"
"149";"107";"América do Norte";"North America";"América del norte"
"249";"107";"América do Norte";"North America";"América del norte"
"493";"107";"América do Norte";"North America";"América del norte"
"100";"48";"América do Sul";"South America";"América del Sur"
"255";"48";"América do Sul";"South America";"América del Sur"
"845";"48";"América do Sul";"South America";"América del Sur"
"589";"48";"América do Sul";"South America";"América del Sur"
"586";"48";"América do Sul";"South America";"América del Sur"
"325";"48";"América do Sul";"South America";"América del Sur"
"239";"48";"América do Sul";"South America";"América del Sur"
"097";"48";"América do Sul";"South America";"América del Sur"
"770";"48";"América do Sul";"South America";"América del Sur"
"158";"48";"América do Sul";"South America";"América del Sur"
"106";"48";"América do Sul";"South America";"América del Sur"
"850";"48";"América do Sul";"South America";"América del Sur"
"169";"48";"América do Sul";"South America";"América del Sur"
"337";"48";"América do Sul";"South America";"América del Sur"
"063";"48";"América do Sul";"South America";"América del Sur"
"795";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
"741";"39";"Ásia (Exclusive Oriente Médio)";"Asia (minus MIDDLE EAST)";"Asia (menos Oriente Medio)"
