CO_ANO;CO_MES;SH4;CO_PAIS;SG_UF_MUN;CO_MUN;KG_LIQUIDO;VL_FOB
2002;12;2204;399;SP;3450308;23855;6494
2002;4;2204;845;PR;4108304;1310;154
2002;5;2204;586;RS;4302105;24600;12300
2002;7;2204;586;PR;4108809;7356;2780
2002;11;2204;580;RS;4304804;71;4
2002;6;2204;845;RS;4305439;32;43
2002;11;2204;77;SC;4208203;120;480
2002;7;2204;271;RS;4302105;5832;11534
2002;1;2204;63;SP;3418800;466;2858
2002;11;2204;40;RJ;3304557;1583;1734
2002;5;2204;586;RS;4308201;540;684
2002;8;2204;586;PR;4108304;3194;1400
2002;8;2204;275;RS;4302105;9000;17240
2002;5;2204;97;PR;4108304;2600;392
2002;4;2204;586;PR;4108809;3053;1676
2002;11;2204;169;RS;4308607;23960;29900
2002;4;2204;586;PR;4108304;74078;38369
2002;11;2204;87;RS;4302105;858;2100
2002;10;2204;40;RJ;3304557;8135;3264
2002;6;2204;586;PR;4108809;5542;2361
2002;1;2204;845;SP;3418800;176;1165
2002;4;2204;767;RS;4302105;800;1920
2002;5;2204;586;PR;4108304;41189;19155
2002;2;2204;586;PR;4108809;1802;695
2002;8;2204;845;PR;4108304;3970;2016
2002;2;2204;97;PR;4108304;1447;4507
2002;5;2204;399;RS;4302105;9592;9833
2002;2;2204;399;SP;3450308;23890;9757
2002;10;2204;586;PR;4108304;23488;6863
2002;9;2204;586;PR;4108809;8105;2871
2002;4;2204;586;MS;5206606;23903;11236
2002;3;2204;586;PR;4108304;101521;46415
2002;12;2204;586;MS;5206606;45813;17107
2002;4;2204;40;RJ;3304557;94;292
2002;1;2204;845;RS;4315305;84;49
2002;10;2204;249;RS;4302105;3500;13990
2002;8;2204;586;MS;5206606;32376;11436
2002;12;2204;158;RS;4304804;31;3
2002;11;2204;87;RS;4314548;450;2100
2002;5;2204;586;MS;5206606;72634;36532
2002;5;2204;97;SP;3450308;361;880
2002;6;2204;586;MS;5206606;66148;25521
2002;12;2204;249;RS;4304804;100;2
2002;9;2204;399;RS;4302105;20574;27015
2002;3;2204;169;RS;4308607;16000;12000
2002;12;2204;196;RS;4304804;100;10
2002;8;2204;586;PR;4108809;5187;2006
2002;4;2204;271;RS;4302105;5832;11534
2002;8;2204;399;SP;3439400;21000;27300
2002;5;2204;589;PR;4108304;5050;1008
2002;5;2204;845;RS;4315305;264;153
2003;1;2204;586;PR;4108304;11154;4516
2003;3;2204;586;PR;4108304;13286;4332
2003;11;2204;249;RS;4302105;5400;17012
2003;10;2204;271;RS;4302105;5832;11534
2003;11;2204;791;RS;4313409;2689;7478
2003;2;2204;586;PR;4108304;16016;4588
2003;4;2204;586;PR;4108304;17667;6743
2003;11;2204;249;RS;4304804;15;2
2003;8;2204;586;PR;4108304;19200;6900
2003;1;2204;249;RJ;3304557;46;54
2003;10;2204;399;RS;4308607;7920;11530
2003;2;2204;399;SP;3450308;23920;6432
2003;12;2204;791;RS;4313409;2250;13907
2003;9;2204;586;PR;4108304;22176;6948
2003;4;2204;586;MS;5206606;36879;11783
2003;11;2204;586;MS;5206606;144515;55976
2003;10;2204;528;SP;3446801;17852;20286
2003;2;2204;767;RS;4302105;1400;3575
2003;7;2204;586;MS;5206606;29506;14102
2003;12;2204;586;PR;4108809;18580;7224
2003;12;2204;249;BA;2907202;4950;9000
2003;11;2204;815;RS;4304804;10;4
2003;10;2204;586;PR;4108809;4629;2181
2003;1;2204;586;PR;4108809;2908;1009
2003;10;2204;767;RS;4302105;5960;22682
2003;10;2204;767;RS;4313086;2939;13828
2003;12;2204;97;SP;3450308;453;1100
2003;8;2204;399;RS;4302105;14729;14446
2003;10;2204;40;RJ;3304557;276;272
2003;12;2204;586;MS;5206606;100721;30286
2003;2;2204;586;MS;5206606;31566;11511
2003;8;2204;169;RS;4308607;15840;19000
2003;4;2204;40;RJ;3304557;84;56
2003;7;2204;271;RS;4302105;5832;11534
2003;5;2204;40;RJ;3304557;97;71
2003;8;2204;586;PR;4108809;4756;2250
2003;6;2204;586;PR;4108304;13166;5272
2003;12;2204;399;RS;4302105;20540;18110
2003;5;2204;586;PR;4108809;8618;3977
2003;6;2204;586;PR;4108809;5537;2635
2003;11;2204;40;SP;3450308;9936;6479
2003;2;2204;399;RS;4302105;7635;7830
2003;10;2204;586;SP;3425904;2520;1959
2003;2;2204;845;RS;4305439;63;80
2003;4;2204;97;MS;5203207;4423;10931
2003;4;2204;40;SP;3450308;92;95
2003;9;2204;586;PR;4108809;4355;2068
2003;12;2204;40;RJ;3304557;320;153
2003;9;2204;586;MS;5206606;21867;7095
2003;2;2204;586;PR;4108809;6998;2378
2003;11;2204;586;PR;4108304;106908;32936
2003;3;2204;399;SP;3450308;23770;6739
2003;11;2204;528;SP;3446801;198;205
2003;9;2204;528;SP;3446801;595;975
2003;3;2204;271;RS;4302105;5832;11534
2003;3;2204;345;RS;4308607;7644;9872
2003;9;2204;249;RS;4302105;5579;15756
2003;3;2204;586;MS;5206606;6396;1352
2003;12;2204;586;PR;4108304;95400;30895
2003;5;2204;586;PR;4108304;22644;8828
2003;7;2204;586;PR;4108809;2643;1280
2003;5;2204;586;MS;5206606;58032;18734
2003;1;2204;845;PR;4108304;33590;8224
2003;11;2204;40;RJ;3304557;9500;4678
2003;6;2204;169;RS;4308607;32000;44800
2003;8;2204;586;MS;5206606;11432;3686
2003;4;2204;399;SP;3450308;25834;11030
2003;11;2204;586;PR;4108809;19162;8356
2003;6;2204;586;MS;5206606;117509;45967
2003;12;2204;161;GO;5309705;180;300
2003;11;2204;493;RS;4302105;20;20
2003;12;2204;196;RS;4302105;26;20
2003;9;2204;289;PR;4106902;270;1655
2003;10;2204;586;MS;5206606;167166;63185
2003;5;2204;97;SP;3450308;453;1100
2003;8;2204;767;RS;4302105;370;1524
2003;4;2204;586;PR;4108809;10921;4628
2003;12;2204;249;RS;4302105;9484;30468
2003;10;2204;586;PR;4108304;35100;11298
2003;8;2204;399;SP;3450308;25680;11764
2003;1;2204;97;PR;4108304;5810;715
2003;3;2204;586;PR;4108809;8054;3151
2003;11;2204;97;SP;3450308;1810;4400
2003;1;2204;845;SC;4212502;6450;4120
2003;8;2204;791;RS;4313409;2431;10406
2003;9;2204;399;SP;3450308;23920;10935
2003;12;2204;196;RS;4304804;5;1
2003;7;2204;586;PR;4108304;33732;12841
2004;11;2204;586;PR;4108809;10953;4387
2004;8;2204;586;MS;5206606;84300;36670
2004;10;2204;40;SP;3450308;150;2566
2004;12;2204;40;RJ;3304557;550;283
2004;4;2204;249;RS;4302105;333;2451
2004;10;2204;623;RS;4308201;99;94
2004;11;2204;586;SP;3425904;7500;3000
2004;8;2204;399;RS;4302105;84800;52576
2004;8;2204;586;PR;4108304;22244;6555
2004;12;2204;399;RS;4302105;6675;8218
2004;9;2204;845;RS;4315305;36;36
2004;10;2204;169;RS;4308607;24000;33200
2004;9;2204;249;RS;4302105;1530;11125
2004;5;2204;249;RS;4302105;9194;34713
2004;8;2204;249;RS;4302105;9270;31234
2004;10;2204;791;RS;4313409;1723;10877
2004;10;2204;249;ES;3205309;1;5
2004;10;2204;97;SP;3450308;905;2200
2004;7;2204;586;PR;4108304;99000;34082
2004;7;2204;63;RJ;3304201;82180;74944
2004;7;2204;271;RS;4302105;5445;10769
2004;7;2204;586;PR;4108809;6408;2251
2004;11;2204;586;PR;4108304;180120;67879
2004;4;2204;399;RS;4302105;49172;23622
2004;12;2204;399;SP;3450308;25720;12543
2004;8;2204;345;SP;3450308;5769;10025
2004;9;2204;607;PE;2608750;16080;21864
2004;2;2204;791;RS;4313409;779;2877
2004;11;2204;386;RS;4302105;503;1433
2004;10;2204;623;RS;4305108;136;481
2004;9;2204;586;PR;4108809;7896;3102
2004;7;2204;289;PR;4106902;162;774
2004;2;2204;586;PR;4108809;6078;2468
2004;12;2204;275;RS;4302105;945;6156
