CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING;NO_PAIS_ESP;CO_BLOCO;NO_BLOCO;NO_BLOCO_ING;NO_BLOCO_ESP
467;470;MLT;Malta;Malta;Malta;112;Europa;Europe;Europa
472;580;MNP;Marianas do Norte, Ilhas;Northern Marianas;Marianas Septentrionales, Islas;61;Oceania;Oceania;Oceania
474;504;MAR;Marrocos;Morocco;Marruecos;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
476;584;MHL;Marshall, Ilhas;Marshall Islands;Islas Marshall;61;Oceania;Oceania;Oceania
477;474;MTQ;Martinica;Martinique;Martinica;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
485;480;MUS;Maurício;Mauritius;Mauricio;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
488;478;MRT;Mauritânia;Mauritania;Mauritania;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
489;898;ZZZ;Mayotte;Mayotte;Mayotte;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
490;581;UMI;Midway, Ilhas;Midway, Islands;Midways, Islas;61;Oceania;Oceania;Oceania
493;484;MEX;México;Mexico;México;107;América do Norte;North America;América del norte
494;498;MDA;Moldávia;Moldova;Moldova, República de;112;Europa;Europe;Europa
495;492;MCO;Mônaco;Monaco;Mónaco;112;Europa;Europe;Europa
497;496;MNG;Mongólia;Mongolia;Mongolia;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
498;499;MNE;Montenegro;Montenegro;Montenegro;112;Europa;Europe;Europa
499;583;FSM;Micronésia;Micronesia;Micronesia;61;Oceania;Oceania;Oceania
501;500;MSR;Montserrat;Montserrat;Montserrat;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
505;508;MOZ;Moçambique;Mozambique;Mozambique;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
507;516;NAM;Namíbia;Namibia;Namibia;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
508;520;NRU;Nauru;Nauru;Nauru;61;Oceania;Oceania;Oceania
511;162;CXR;Christmas (Navidad), Ilha;Christmas Island;Navidad (Christmas), Isla;61;Oceania;Oceania;Oceania
517;524;NPL;Nepal;Nepal;Nepal;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
521;558;NIC;Nicarágua;Nicaragua;Nicaragua;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
525;562;NER;Níger;Niger;Níger;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
528;566;NGA;Nigéria;Nigeria;Nigeria;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
531;570;NIU;Niue;Niue;Niue;61;Oceania;Oceania;Oceania
535;574;NFK;Norfolk, Ilha;Norfolk Island;Norfolk, Islas;61;Oceania;Oceania;Oceania
538;578;NOR;Noruega;Norway;Noruega;112;Europa;Europe;Europa
542;540;NCL;Nova Caledônia;New Caledonia;Nueva Caledonia;61;Oceania;Oceania;Oceania
545;598;PNG;Papua Nova Guiné;Papua New Guinea;Papua Nueva Guinea;61;Oceania;Oceania;Oceania
548;554;NZL;Nova Zelândia;New Zealand;Nueva Zelanda;61;Oceania;Oceania;Oceania
551;548;VUT;Vanuatu;Vanuatu;Vanuatu;61;Oceania;Oceania;Oceania
556;512;OMN;Omã;Oman;Omán;41;Oriente Médio;Middle East;Oriente Medio
563;581;UMI;Pacífico, Ilhas do (Administração dos EUA);Pacific, Islands of (U.S. Administration);Pacífico, las Islas (EE.UU administración);61;Oceania;Oceania;Oceania
566;581;UMI;Pacífico, Ilhas do (EUA);Pacific Islands (USA);Pacífico, Islas del (Estados Unidos);61;Oceania;Oceania;Oceania
569;581;UMI;Pacífico, Ilhas do (Território Fideicomisso EUA);Pacifics, Islands of (U.S. trust territory);Pacífico, las islas (EE.UU. TERRITORIO EN FIDEICOMISO;61;Oceania;Oceania;Oceania
573;528;NLD;Países Baixos (Holanda);Netherlands;Países Bajos;112;Europa;Europe;Europa
575;585;PLW;Palau;Palau;Palau;61;Oceania;Oceania;Oceania
576;586;PAK;Paquistão;Pakistan;Pakistán;39;Ásia (Exclusive Oriente Médio);Asia (minus MIDDLE EAST);Asia (menos Oriente Medio)
578;275;PSE;Palestina;Palestine;Palestina;41;Oriente Médio;Middle East;Oriente Medio
580;591;PAN;Panamá;Panama;Panamá;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
583;598;PNG;Papua, Território de;Papua territory;Territorio de Papua;61;Oceania;Oceania;Oceania
586;600;PRY;Paraguai;Paraguay;Paraguay;48;América do Sul;South America;América del Sur
589;604;PER;Peru;Peru;Perú;48;América do Sul;South America;América del Sur
593;612;PCN;Pitcairn;Pitcairn;Pitcairn;61;Oceania;Oceania;Oceania
599;258;PYF;Polinésia Francesa;French Polynesia;Polinesia Francesa;61;Oceania;Oceania;Oceania
603;616;POL;Polônia;Poland;Polonia;112;Europa;Europe;Europa
607;620;PRT;Portugal;Portugal;Portugal;112;Europa;Europe;Europa
611;630;PRI;Porto Rico;Puerto Rico;Puerto Rico;105;América Central e Caribe;Central America and Caribbean;América Central y Caribe
623;404;KEN;Quênia;Kenya;Kenya;51;África;Africa (minus MIDDLE EAST);África (menos ORIENTE MEDIO)
